seq_616	sp_P19551_ENV_HV1MF_Envelope_glycoprotein_gp160_OS=Human_immunodeficiency_virus_type_1_group_M_subty	86.900	51	853
seq_616	sp_P12487_ENV_HV1Z2_Envelope_glycoprotein_gp160_OS=Human_immunodeficiency_virus_type_1_group_M_subty	86.900	51	853
seq_616	sp_P04578_ENV_HV1H2_Envelope_glycoprotein_gp160_OS=Human_immunodeficiency_virus_type_1_group_M_subty	86.900	51	856
seq_616	sp_P04624_ENV_HV1H3_Envelope_glycoprotein_gp160_OS=Human_immunodeficiency_virus_type_1_group_M_subty	86.900	51	856
seq_616	sp_Q70626_ENV_HV1LW_Envelope_glycoprotein_gp160_OS=Human_immunodeficiency_virus_type_1_group_M_subty	86.900	51	856
seq_616	sp_P03375_ENV_HV1B1_Envelope_glycoprotein_gp160_OS=Human_immunodeficiency_virus_type_1_group_M_subty	86.900	51	856
seq_616	sp_P03377_ENV_HV1BR_Envelope_glycoprotein_gp160_OS=Human_immunodeficiency_virus_type_1_group_M_subty	86.900	51	861
seq_616	sp_Q9QSQ7_ENV_HV1VI_Envelope_glycoprotein_gp160_OS=Human_immunodeficiency_virus_type_1_group_M_subty	86.500	51	832
seq_616	sp_P19550_ENV_HV1S1_Envelope_glycoprotein_gp160_OS=Human_immunodeficiency_virus_type_1_group_M_subty	86.500	51	847
seq_616	sp_P20888_ENV_HV1OY_Envelope_glycoprotein_gp160_OS=Human_immunodeficiency_virus_type_1_group_M_subty	86.500	51	855
seq_616	sp_P04581_ENV_HV1EL_Envelope_glycoprotein_gp160_OS=Human_immunodeficiency_virus_type_1_group_M_subty	86.200	51	853
seq_616	sp_P04580_ENV_HV1Z6_Envelope_glycoprotein_gp160_OS=Human_immunodeficiency_virus_type_1_group_M_subty	86.200	51	855
seq_616	sp_P20871_ENV_HV1JR_Envelope_glycoprotein_gp160_OS=Human_immunodeficiency_virus_type_1_group_M_subty	85.900	51	848
seq_616	sp_P35961_ENV_HV1Y2_Envelope_glycoprotein_gp160_OS=Human_immunodeficiency_virus_type_1_group_M_subty	85.500	51	843
